25000000,0,seperation between areas,I used similarities between each thing to sort such as mountian range and vally being boarders between to areas. ,
25000000,1,parts of a state,I used words that make up a state such as country, road, town etc...,
25000000,2,large land areas,in this group i catagorized things that are large areas of land,
25000000,3,all water,in this group all items sorted where either bodies of water or associated as such. ,
25000000,4,natural disasters,i sorted words into this group that are associated with disasters or distruction. ,
25000000,5,types of land,these words all describe types of environments,
25000000,6,tools,this group all contians words that reference tools used to access different aspects of the world,
